Frequency,Raw Reading,Atten 10dB Factor,Cable 276 PLCE - 3m Factor,LISN 303 - L1 Factor,Level,CISPR 11 Class A - Quasi-Peak Limit,CISPR 11 Class A - Average Limit,CISPR 11 Class A - Quasi-Peak Margin,CISPR 11 Class A - Average Margin,Comments
22.091,32.7,10.0,.1,.1,=SUM(B175:E175),73.0,60.0,=G175-F175,=H175-F175,
22.150,32.9,10.0,.1,.1,=SUM(B176:E176),73.0,60.0,=G176-F176,=H176-F176,
22.214,39.1,10.0,.1,.1,=SUM(B177:E177),73.0,60.0,=G177-F177,=H177-F177,
22.243,33.2,10.0,.1,.1,=SUM(B178:E178),73.0,60.0,=G178-F178,=H178-F178,
22.303,32.8,10.0,.1,.1,=SUM(B179:E179),73.0,60.0,=G179-F179,=H179-F179,
22.336,35.9,10.0,.1,.1,=SUM(B180:E180),73.0,60.0,=G180-F180,=H180-F180,
22.396,37.7,10.0,.1,.1,=SUM(B181:E181),73.0,60.0,=G181-F181,=H181-F181,
22.459,41.0,10.0,.1,.1,=SUM(B182:E182),73.0,60.0,=G182-F182,=H182-F182,
22.489,32.1,10.0,.1,.1,=SUM(B183:E183),73.0,60.0,=G183-F183,=H183-F183,
22.519,37.2,10.0,.1,.1,=SUM(B184:E184),73.0,60.0,=G184-F184,=H184-F184,
22.582,40.6,10.0,.1,.1,=SUM(B185:E185),73.0,60.0,=G185-F185,=H185-F185,
22.612,28.3,10.0,.1,.1,=SUM(B186:E186),73.0,60.0,=G186-F186,=H186-F186,
22.642,28.8,10.0,.1,.1,=SUM(B187:E187),73.0,60.0,=G187-F187,=H187-F187,
22.669,29.4,10.0,.1,.1,=SUM(B188:E188),73.0,60.0,=G188-F188,=H188-F188,
22.765,31.2,10.0,.1,.1,=SUM(B189:E189),73.0,60.0,=G189-F189,=H189-F189,
22.825,38.0,10.0,.1,.1,=SUM(B190:E190),73.0,60.0,=G190-F190,=H190-F190,
22.888,41.0,10.0,.1,.1,=SUM(B191:E191),73.0,60.0,=G191-F191,=H191-F191,
22.948,37.6,10.0,.1,.1,=SUM(B192:E192),73.0,60.0,=G192-F192,=H192-F192,
23.011,31.7,10.0,.1,.1,=SUM(B193:E193),73.0,60.0,=G193-F193,=H193-F193,
23.071,42.0,10.0,.1,.1,=SUM(B194:E194),73.0,60.0,=G194-F194,=H194-F194,
23.134,45.9,10.0,.1,.1,=SUM(B195:E195),73.0,60.0,=G195-F195,=H195-F195,
23.194,37.1,10.0,.1,.1,=SUM(B196:E196),73.0,60.0,=G196-F196,=H196-F196,
23.300,28.1,10.0,.1,.1,=SUM(B197:E197),73.0,60.0,=G197-F197,=H197-F197,
23.373,37.6,10.0,.1,.1,=SUM(B198:E198),73.0,60.0,=G198-F198,=H198-F198,
23.433,38.8,10.0,.1,.1,=SUM(B199:E199),73.0,60.0,=G199-F199,=H199-F199,
23.496,29.7,10.0,.1,.2,=SUM(B200:E200),73.0,60.0,=G200-F200,=H200-F200,
23.556,33.6,10.0,.1,.2,=SUM(B201:E201),73.0,60.0,=G201-F201,=H201-F201,
23.586,32.2,10.0,.1,.2,=SUM(B202:E202),73.0,60.0,=G202-F202,=H202-F202,
23.649,32.5,10.0,.1,.2,=SUM(B203:E203),73.0,60.0,=G203-F203,=H203-F203,
23.679,30.6,10.0,.1,.2,=SUM(B204:E204),73.0,60.0,=G204-F204,=H204-F204,
23.709,33.0,10.0,.1,.2,=SUM(B205:E205),73.0,60.0,=G205-F205,=H205-F205,
23.739,38.3,10.0,.1,.2,=SUM(B206:E206),73.0,60.0,=G206-F206,=H206-F206,
23.862,37.8,10.0,.1,.2,=SUM(B207:E207),73.0,60.0,=G207-F207,=H207-F207,
23.955,32.6,10.0,.1,.2,=SUM(B208:E208),73.0,60.0,=G208-F208,=H208-F208,
24.001,41.5,10.0,.1,.2,=SUM(B209:E209),73.0,60.0,=G209-F209,=H209-F209,
24.048,40.1,10.0,.1,.2,=SUM(B210:E210),73.0,60.0,=G210-F210,=H210-F210,
24.108,37.5,10.0,.1,.2,=SUM(B211:E211),73.0,60.0,=G211-F211,=H211-F211,
24.141,27.9,10.0,.1,.2,=SUM(B212:E212),73.0,60.0,=G212-F212,=H212-F212,
24.168,27.8,10.0,.1,.2,=SUM(B213:E213),73.0,60.0,=G213-F213,=H213-F213,
24.264,30.6,10.0,.1,.2,=SUM(B214:E214),73.0,60.0,=G214-F214,=H214-F214,
24.291,36.2,10.0,.1,.2,=SUM(B215:E215),73.0,60.0,=G215-F215,=H215-F215,
24.354,41.6,10.0,.1,.2,=SUM(B216:E216),73.0,60.0,=G216-F216,=H216-F216,
24.384,32.3,10.0,.1,.2,=SUM(B217:E217),73.0,60.0,=G217-F217,=H217-F217,
24.414,31.1,10.0,.1,.2,=SUM(B218:E218),73.0,60.0,=G218-F218,=H218-F218,
24.473,32.3,10.0,.1,.2,=SUM(B219:E219),73.0,60.0,=G219-F219,=H219-F219,
24.537,40.4,10.0,.1,.2,=SUM(B220:E220),73.0,60.0,=G220-F220,=H220-F220,
24.596,34.2,10.0,.1,.2,=SUM(B221:E221),73.0,60.0,=G221-F221,=H221-F221,
24.659,35.0,10.0,.1,.2,=SUM(B222:E222),73.0,60.0,=G222-F222,=H222-F222,
24.719,37.6,10.0,.1,.2,=SUM(B223:E223),73.0,60.0,=G223-F223,=H223-F223,
24.782,31.8,10.0,.1,.2,=SUM(B224:E224),73.0,60.0,=G224-F224,=H224-F224,
24.842,33.0,10.0,.1,.2,=SUM(B225:E225),73.0,60.0,=G225-F225,=H225-F225,
24.876,34.7,10.0,.1,.2,=SUM(B226:E226),73.0,60.0,=G226-F226,=H226-F226,
24.905,39.9,10.0,.1,.2,=SUM(B227:E227),73.0,60.0,=G227-F227,=H227-F227,
24.965,38.6,10.0,.1,.2,=SUM(B228:E228),73.0,60.0,=G228-F228,=H228-F228,
25.025,32.3,10.0,.1,.2,=SUM(B229:E229),73.0,60.0,=G229-F229,=H229-F229,
25.048,26.7,10.0,.1,.2,=SUM(B230:E230),73.0,60.0,=G230-F230,=H230-F230,
25.111,29.4,10.0,.1,.2,=SUM(B231:E231),73.0,60.0,=G231-F231,=H231-F231,
25.171,31.7,10.0,.1,.2,=SUM(B232:E232),73.0,60.0,=G232-F232,=H232-F232,
25.205,35.2,10.0,.1,.2,=SUM(B233:E233),73.0,60.0,=G233-F233,=H233-F233,
25.264,31.8,10.0,.1,.2,=SUM(B234:E234),73.0,60.0,=G234-F234,=H234-F234,
25.327,31.3,10.0,.1,.2,=SUM(B235:E235),73.0,60.0,=G235-F235,=H235-F235,
25.417,29.9,10.0,.1,.2,=SUM(B236:E236),73.0,60.0,=G236-F236,=H236-F236,
25.450,28.0,10.0,.1,.2,=SUM(B237:E237),73.0,60.0,=G237-F237,=H237-F237,
25.480,27.3,10.0,.1,.2,=SUM(B238:E238),73.0,60.0,=G238-F238,=H238-F238,
25.510,28.6,10.0,.1,.2,=SUM(B239:E239),73.0,60.0,=G239-F239,=H239-F239,
25.573,34.6,10.0,.1,.2,=SUM(B240:E240),73.0,60.0,=G240-F240,=H240-F240,
25.603,27.9,10.0,.1,.2,=SUM(B241:E241),73.0,60.0,=G241-F241,=H241-F241,
25.630,30.0,10.0,.1,.2,=SUM(B242:E242),73.0,60.0,=G242-F242,=H242-F242,
25.663,33.2,10.0,.1,.2,=SUM(B243:E243),73.0,60.0,=G243-F243,=H243-F243,
25.693,40.6,10.0,.1,.2,=SUM(B244:E244),73.0,60.0,=G244-F244,=H244-F244,
25.726,30.1,10.0,.1,.2,=SUM(B245:E245),73.0,60.0,=G245-F245,=H245-F245,
25.786,29.5,10.0,.1,.2,=SUM(B246:E246),73.0,60.0,=G246-F246,=H246-F246,
25.816,31.2,10.0,.1,.2,=SUM(B247:E247),73.0,60.0,=G247-F247,=H247-F247,
25.849,28.4,10.0,.1,.2,=SUM(B248:E248),73.0,60.0,=G248-F248,=H248-F248,
25.879,41.0,10.0,.1,.2,=SUM(B249:E249),73.0,60.0,=G249-F249,=H249-F249,
25.942,27.7,10.0,.1,.2,=SUM(B250:E250),73.0,60.0,=G250-F250,=H250-F250,
26.002,39.8,10.0,.1,.2,=SUM(B251:E251),73.0,60.0,=G251-F251,=H251-F251,
26.032,31.4,10.0,.1,.2,=SUM(B252:E252),73.0,60.0,=G252-F252,=H252-F252,
26.062,32.5,10.0,.1,.2,=SUM(B253:E253),73.0,60.0,=G253-F253,=H253-F253,
26.155,30.5,10.0,.1,.2,=SUM(B254:E254),73.0,60.0,=G254-F254,=H254-F254,
26.185,35.8,10.0,.1,.2,=SUM(B255:E255),73.0,60.0,=G255-F255,=H255-F255,
26.278,27.9,10.0,.1,.2,=SUM(B256:E256),73.0,60.0,=G256-F256,=H256-F256,
26.308,32.6,10.0,.1,.2,=SUM(B257:E257),73.0,60.0,=G257-F257,=H257-F257,
26.341,30.5,10.0,.1,.2,=SUM(B258:E258),73.0,60.0,=G258-F258,=H258-F258,
26.401,37.1,10.0,.1,.2,=SUM(B259:E259),73.0,60.0,=G259-F259,=H259-F259,
