Frequency,Detector,Raw Reading,Atten 10dB Factor,Cable 276 PLCE - 3m Factor,LISN 303 - L2 Factor,Level,CISPR 11 Class A - Quasi-Peak Limit,CISPR 11 Class A - Average Limit,CISPR 11 Class A - Quasi-Peak Margin,CISPR 11 Class A - Average Margin,Angle, Height, Comments
24.7193,SCAN  ,38.2,10.0,.1,.2,=SUM(C33:F33),73.0,60.0,=H33-G33,=I33-G33,0,0,
20.8110,SCAN  ,38.1,10.0,.1,.2,=SUM(C34:F34),73.0,60.0,=H34-G34,=I34-G34,0,0,
28.6208,SCAN  ,38.1,10.0,.1,.2,=SUM(C35:F35),73.0,60.0,=H35-G35,=I35-G35,0,0,
22.8250,SCAN  ,38.1,10.0,.1,.2,=SUM(C36:F36),73.0,60.0,=H36-G36,=I36-G36,0,0,
27.9562,SCAN  ,38.0,10.0,.1,.2,=SUM(C37:F37),73.0,60.0,=H37-G37,=I37-G37,0,0,
26.8528,SCAN  ,37.9,10.0,.1,.2,=SUM(C38:F38),73.0,60.0,=H38-G38,=I38-G38,0,0,
28.2951,SCAN  ,37.9,10.0,.1,.2,=SUM(C39:F39),73.0,60.0,=H39-G39,=I39-G39,0,0,
27.2217,SCAN  ,37.9,10.0,.1,.2,=SUM(C40:F40),73.0,60.0,=H40-G40,=I40-G40,0,0,
23.3733,SCAN  ,37.7,10.0,.1,.2,=SUM(C41:F41),73.0,60.0,=H41-G41,=I41-G41,0,0,
27.8963,SCAN  ,37.7,10.0,.1,.2,=SUM(C42:F42),73.0,60.0,=H42-G42,=I42-G42,0,0,
29.1094,SCAN  ,37.6,10.0,.1,.2,=SUM(C43:F43),73.0,60.0,=H43-G43,=I43-G43,0,0,
22.3963,SCAN  ,37.7,10.0,.1,.2,=SUM(C44:F44),73.0,60.0,=H44-G44,=I44-G44,0,0,
18.2488,SCAN  ,37.6,10.0,.1,.1,=SUM(C45:F45),73.0,60.0,=H45-G45,=I45-G45,0,0,
20.3192,SCAN  ,37.6,10.0,.1,.1,=SUM(C46:F46),73.0,60.0,=H46-G46,=I46-G46,0,0,
21.0536,SCAN  ,37.6,10.0,.1,.2,=SUM(C47:F47),73.0,60.0,=H47-G47,=I47-G47,0,0,
21.1135,SCAN  ,37.5,10.0,.1,.2,=SUM(C48:F48),73.0,60.0,=H48-G48,=I48-G48,0,0,
28.4414,SCAN  ,37.4,10.0,.1,.2,=SUM(C49:F49),73.0,60.0,=H49-G49,=I49-G49,0,0,
24.1078,SCAN  ,37.3,10.0,.1,.2,=SUM(C50:F50),73.0,60.0,=H50-G50,=I50-G50,0,0,
22.9479,SCAN  ,37.3,10.0,.1,.2,=SUM(C51:F51),73.0,60.0,=H51-G51,=I51-G51,0,0,
26.4009,SCAN  ,37.2,10.0,.1,.2,=SUM(C52:F52),73.0,60.0,=H52-G52,=I52-G52,0,0,
20.3790,SCAN  ,37.2,10.0,.1,.1,=SUM(C53:F53),73.0,60.0,=H53-G53,=I53-G53,0,0,
22.5192,SCAN  ,37.1,10.0,.1,.2,=SUM(C54:F54),73.0,60.0,=H54-G54,=I54-G54,0,0,
22.0307,SCAN  ,37.1,10.0,.1,.2,=SUM(C55:F55),73.0,60.0,=H55-G55,=I55-G55,0,0,
28.5012,SCAN  ,36.9,10.0,.1,.2,=SUM(C56:F56),73.0,60.0,=H56-G56,=I56-G56,0,0,
20.8709,SCAN  ,36.8,10.0,.1,.2,=SUM(C57:F57),73.0,60.0,=H57-G57,=I57-G57,0,0,
24.2905,SCAN  ,36.7,10.0,.1,.2,=SUM(C58:F58),73.0,60.0,=H58-G58,=I58-G58,0,0,
20.9938,SCAN  ,36.7,10.0,.1,.2,=SUM(C59:F59),73.0,60.0,=H59-G59,=I59-G59,0,0,
23.1939,SCAN  ,36.7,10.0,.1,.2,=SUM(C60:F60),73.0,60.0,=H60-G60,=I60-G60,0,0,
26.6767,SCAN  ,36.4,10.0,.1,.2,=SUM(C61:F61),73.0,60.0,=H61-G61,=I61-G61,0,0,
21.1799,SCAN  ,36.3,10.0,.1,.2,=SUM(C62:F62),73.0,60.0,=H62-G62,=I62-G62,0,0,
26.1848,SCAN  ,36.1,10.0,.1,.2,=SUM(C63:F63),73.0,60.0,=H63-G63,=I63-G63,0,0,
