Frequency,Raw Reading,Atten 10dB Factor,Cable 276 PLCE - 3m Factor,LISN 303 - L2 Factor,Level,CISPR 11 Class A - Quasi-Peak Limit,CISPR 11 Class A - Average Limit,CISPR 11 Class A - Quasi-Peak Margin,CISPR 11 Class A - Average Margin,Comments
27.105,28.1,10.0,.1,.2,=SUM(B246:E246),73.0,60.0,=G246-F246,=H246-F246,
27.129,34.5,10.0,.1,.2,=SUM(B247:E247),73.0,60.0,=G247-F247,=H247-F247,
27.159,43.2,10.0,.1,.2,=SUM(B248:E248),73.0,60.0,=G248-F248,=H248-F248,
27.222,37.9,10.0,.1,.2,=SUM(B249:E249),73.0,60.0,=G249-F249,=H249-F249,
27.252,28.2,10.0,.1,.2,=SUM(B250:E250),73.0,60.0,=G250-F250,=H250-F250,
27.341,40.8,10.0,.1,.2,=SUM(B251:E251),73.0,60.0,=G251-F251,=H251-F251,
27.375,31.0,10.0,.1,.2,=SUM(B252:E252),73.0,60.0,=G252-F252,=H252-F252,
27.405,34.1,10.0,.1,.2,=SUM(B253:E253),73.0,60.0,=G253-F253,=H253-F253,
27.434,27.2,10.0,.1,.2,=SUM(B254:E254),73.0,60.0,=G254-F254,=H254-F254,
27.621,32.4,10.0,.1,.2,=SUM(B255:E255),73.0,60.0,=G255-F255,=H255-F255,
27.680,33.1,10.0,.1,.2,=SUM(B256:E256),73.0,60.0,=G256-F256,=H256-F256,
