4:36:18 PM 01-09-2019
ORBIT Version: 0.1.98
Username:     Med X Stream
Computer:     DRSHD-0710-041C
Filename:     D:\Projects\Virtek Vision\7169005365 LPS-7\01_PLCE_120Vac60Hz_L1
Spectrum Analyzer:          RSESL6          Datapoints:                500 
<BEGIN LIMIT FILE: C:\Program Files\Orbit\Limits\FCC Verification\10 KHz FCC_CE_ClassA_LISN.txt>
2
A m p l i t u d e  ( d B u V )
10
30
10
23
1
factor file # name
FCC Part 15 Class A - Quasi-Peak
220
150
0,0,255
Blank1
4
0.15
79
0.5
79
0.5
73
30
73
FCC Part 15 Class A - Average
220
220
0,0,127
Blank1
4
0.15
66
0.5
66
0.5
60
30
60
AUTOFACTOR Atten 10dB
AUTOFACTOR Cable 276 PLCE - 3m
AUTOFACTOR LISN 303 - L1
<END LIMIT FILE>
Frequency,Raw Reading,Atten 10dB Factor,Cable 276 PLCE - 3m Factor,LISN 303 - L1 Factor,Level
0.76149, 16.7343 , 10 , 0.1 , 0.02 ,26.8543
0.764813, 17.7005 , 10 , 0.1 , 0.02 ,27.8205
0.768136, 17.7847 , 10 , 0.1 , 0.02 ,27.9047
0.77146, 17.4174 , 10 , 0.1 , 0.02 ,27.5374
0.774783, 18.0137 , 10 , 0.1 , 0.02 ,28.1337
0.778106, 17.6258 , 10 , 0.1 , 0.02 ,27.7458
0.78143, 16.6943 , 10 , 0.1 , 0.02 ,26.8143
0.784753, 17.7158 , 10 , 0.1 , 0.02 ,27.8358
0.788076, 17.9134 , 10 , 0.1 , 0.02 ,28.0334
0.791399, 17.4649 , 10 , 0.1 , 0.02 ,27.5849
0.794723, 18.2801 , 10 , 0.1 , 0.02 ,28.4001
0.798046, 17.5793 , 10 , 0.1 , 0.02 ,27.6993
0.801369, 17.2211 , 10 , 0.1 , 0.02 ,27.3411
0.804693, 17.3872 , 10 , 0.1 , 0.02 ,27.5072
0.808016, 16.9033 , 10 , 0.1 , 0.02 ,27.0233
0.811339, 17.6443 , 10 , 0.1 , 0.02 ,27.7643
0.814663, 17.7226 , 10 , 0.1 , 0.02 ,27.8426
0.817986, 17.9141 , 10 , 0.1 , 0.02 ,28.0341
0.821309, 18.0985 , 10 , 0.1 , 0.02 ,28.2185
0.824633, 17.6358 , 10 , 0.1 , 0.02 ,27.7558
0.827956, 17.5552 , 10 , 0.1 , 0.0245 ,27.6797
0.831279, 16.1129 , 10 , 0.1 , 0.0289 ,26.2418
0.834603, 17.2842 , 10 , 0.1 , 0.0265 ,27.4107
0.837926, 17.9743 , 10 , 0.1 , 0.022 ,28.0963
0.841249, 17.7275 , 10 , 0.1 , 0.02 ,27.8475
0.844572, 17.3353 , 10 , 0.1 , 0.02 ,27.4553
0.847896, 16.6564 , 10 , 0.1 , 0.02 ,26.7764
0.851219, 18.1401 , 10 , 0.1 , 0.02 ,28.2601
0.854542, 18.2319 , 10 , 0.1 , 0.02 ,28.3519
0.857866, 16.6637 , 10 , 0.1 , 0.02 ,26.7837
0.861189, 17.0322 , 10 , 0.1 , 0.02 ,27.1522
0.864512, 18.6272 , 10 , 0.1 , 0.02 ,28.7472
0.867836, 17.6861 , 10 , 0.1 , 0.02 ,27.8061
0.871159, 16.9378 , 10 , 0.1 , 0.02 ,27.0578
0.874482, 18.4191 , 10 , 0.1 , 0.02 ,28.5391
0.877806, 17.5295 , 10 , 0.1 , 0.02 ,27.6495
0.881129, 16.1488 , 10 , 0.1 , 0.02 ,26.2688
0.884452, 17.3978 , 10 , 0.1 , 0.02 ,27.5178
0.887776, 16.8444 , 10 , 0.1 , 0.02 ,26.9644
0.891099, 16.8198 , 10 , 0.1 , 0.02 ,26.9398
0.894422, 17.0757 , 10 , 0.1 , 0.02 ,27.1957
0.897745, 17.0544 , 10 , 0.1 , 0.02 ,27.1744
0.901069, 17.7399 , 10 , 0.1 , 0.02 ,27.8599
0.904392, 17.9677 , 10 , 0.1 , 0.02 ,28.0877
0.907715, 17.9582 , 10 , 0.1 , 0.02 ,28.0782
0.911039, 16.9306 , 10 , 0.1 , 0.02 ,27.0506
