Frequency,Raw Reading,Atten 10dB Factor,Cable 276 PLCE - 3m Factor,LISN 303 - L2 Factor,Level,FCC Part 15 Class A - Quasi-Peak Limit,FCC Part 15 Class A - Average Limit,FCC Part 15 Class A - Quasi-Peak Margin,FCC Part 15 Class A - Average Margin,Comments
27.680,33.6,10.0,.1,.2,=SUM(B291:E291),73.0,60.0,=G291-F291,=H291-F291,
27.710,36.0,10.0,.1,.2,=SUM(B292:E292),73.0,60.0,=G292-F292,=H292-F292,
27.744,27.7,10.0,.1,.2,=SUM(B293:E293),73.0,60.0,=G293-F293,=H293-F293,
27.837,27.1,10.0,.1,.2,=SUM(B294:E294),73.0,60.0,=G294-F294,=H294-F294,
27.863,26.9,10.0,.1,.2,=SUM(B295:E295),73.0,60.0,=G295-F295,=H295-F295,
27.893,38.1,10.0,.1,.2,=SUM(B296:E296),73.0,60.0,=G296-F296,=H296-F296,
27.923,31.8,10.0,.1,.2,=SUM(B297:E297),73.0,60.0,=G297-F297,=H297-F297,
27.956,37.6,10.0,.1,.2,=SUM(B298:E298),73.0,60.0,=G298-F298,=H298-F298,
27.986,31.4,10.0,.1,.2,=SUM(B299:E299),73.0,60.0,=G299-F299,=H299-F299,
28.016,32.2,10.0,.1,.2,=SUM(B300:E300),73.0,60.0,=G300-F300,=H300-F300,
28.046,25.9,10.0,.1,.2,=SUM(B301:E301),73.0,60.0,=G301-F301,=H301-F301,
28.109,30.2,10.0,.1,.2,=SUM(B302:E302),73.0,60.0,=G302-F302,=H302-F302,
28.139,28.8,10.0,.1,.2,=SUM(B303:E303),73.0,60.0,=G303-F303,=H303-F303,
28.169,29.5,10.0,.1,.2,=SUM(B304:E304),73.0,60.0,=G304-F304,=H304-F304,
28.262,25.4,10.0,.1,.2,=SUM(B305:E305),73.0,60.0,=G305-F305,=H305-F305,
28.292,37.2,10.0,.1,.2,=SUM(B306:E306),73.0,60.0,=G306-F306,=H306-F306,
28.325,37.7,10.0,.1,.2,=SUM(B307:E307),73.0,60.0,=G307-F307,=H307-F307,
28.348,34.6,10.0,.1,.2,=SUM(B308:E308),73.0,60.0,=G308-F308,=H308-F308,
28.378,33.5,10.0,.1,.2,=SUM(B309:E309),73.0,60.0,=G309-F309,=H309-F309,
28.408,29.5,10.0,.1,.2,=SUM(B310:E310),73.0,60.0,=G310-F310,=H310-F310,
28.438,37.4,10.0,.1,.2,=SUM(B311:E311),73.0,60.0,=G311-F311,=H311-F311,
28.471,30.2,10.0,.1,.2,=SUM(B312:E312),73.0,60.0,=G312-F312,=H312-F312,
28.501,36.9,10.0,.1,.2,=SUM(B313:E313),73.0,60.0,=G313-F313,=H313-F313,
28.561,39.1,10.0,.1,.2,=SUM(B314:E314),73.0,60.0,=G314-F314,=H314-F314,
28.594,29.6,10.0,.1,.2,=SUM(B315:E315),73.0,60.0,=G315-F315,=H315-F315,
28.621,37.5,10.0,.1,.2,=SUM(B316:E316),73.0,60.0,=G316-F316,=H316-F316,
28.684,41.4,10.0,.1,.2,=SUM(B317:E317),73.0,60.0,=G317-F317,=H317-F317,
28.744,33.7,10.0,.1,.2,=SUM(B318:E318),73.0,60.0,=G318-F318,=H318-F318,
28.804,31.4,10.0,.1,.2,=SUM(B319:E319),73.0,60.0,=G319-F319,=H319-F319,
28.867,36.4,10.0,.1,.2,=SUM(B320:E320),73.0,60.0,=G320-F320,=H320-F320,
28.897,33.1,10.0,.1,.2,=SUM(B321:E321),73.0,60.0,=G321-F321,=H321-F321,
28.927,32.1,10.0,.1,.2,=SUM(B322:E322),73.0,60.0,=G322-F322,=H322-F322,
28.990,33.4,10.0,.1,.2,=SUM(B323:E323),73.0,60.0,=G323-F323,=H323-F323,
29.020,27.3,10.0,.1,.2,=SUM(B324:E324),73.0,60.0,=G324-F324,=H324-F324,
29.050,28.7,10.0,.1,.2,=SUM(B325:E325),73.0,60.0,=G325-F325,=H325-F325,
29.079,28.1,10.0,.1,.2,=SUM(B326:E326),73.0,60.0,=G326-F326,=H326-F326,
29.109,39.8,10.0,.1,.2,=SUM(B327:E327),73.0,60.0,=G327-F327,=H327-F327,
29.139,35.4,10.0,.1,.2,=SUM(B328:E328),73.0,60.0,=G328-F328,=H328-F328,
29.169,34.3,10.0,.1,.2,=SUM(B329:E329),73.0,60.0,=G329-F329,=H329-F329,
29.202,32.8,10.0,.1,.2,=SUM(B330:E330),73.0,60.0,=G330-F330,=H330-F330,
29.232,43.0,10.0,.1,.2,=SUM(B331:E331),73.0,60.0,=G331-F331,=H331-F331,
29.262,26.3,10.0,.1,.2,=SUM(B332:E332),73.0,60.0,=G332-F332,=H332-F332,
29.292,27.9,10.0,.1,.2,=SUM(B333:E333),73.0,60.0,=G333-F333,=H333-F333,
29.355,37.4,10.0,.1,.2,=SUM(B334:E334),73.0,60.0,=G334-F334,=H334-F334,
29.385,26.6,10.0,.1,.2,=SUM(B335:E335),73.0,60.0,=G335-F335,=H335-F335,
29.418,28.0,10.0,.1,.2,=SUM(B336:E336),73.0,60.0,=G336-F336,=H336-F336,
29.475,38.0,10.0,.1,.2,=SUM(B337:E337),73.0,60.0,=G337-F337,=H337-F337,
29.538,31.1,10.0,.1,.2,=SUM(B338:E338),73.0,60.0,=G338-F338,=H338-F338,
29.598,30.7,10.0,.1,.2,=SUM(B339:E339),73.0,60.0,=G339-F339,=H339-F339,
29.628,26.1,10.0,.1,.2,=SUM(B340:E340),73.0,60.0,=G340-F340,=H340-F340,
29.658,38.1,10.0,.1,.2,=SUM(B341:E341),73.0,60.0,=G341-F341,=H341-F341,
29.688,34.9,10.0,.1,.2,=SUM(B342:E342),73.0,60.0,=G342-F342,=H342-F342,
29.751,35.0,10.0,.1,.2,=SUM(B343:E343),73.0,60.0,=G343-F343,=H343-F343,
29.781,38.9,10.0,.1,.2,=SUM(B344:E344),73.0,60.0,=G344-F344,=H344-F344,
29.811,37.9,10.0,.1,.2,=SUM(B345:E345),73.0,60.0,=G345-F345,=H345-F345,
29.841,38.7,10.0,.1,.2,=SUM(B346:E346),73.0,60.0,=G346-F346,=H346-F346,
29.870,25.8,10.0,.1,.2,=SUM(B347:E347),73.0,60.0,=G347-F347,=H347-F347,
29.900,40.3,10.0,.1,.2,=SUM(B348:E348),73.0,60.0,=G348-F348,=H348-F348,
29.963,38.7,10.0,.1,.2,=SUM(B349:E349),73.0,60.0,=G349-F349,=H349-F349,
